EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+218,"2019/09/12 23:57:36","2019/09/16 20:17:33",119000000246993
EUR/USD,買,決済,1000,1.10600,1.10600,1.10600,+215,"2019/09/13 08:48:55","2019/09/16 19:01:28",119000000247505
USD/JPY,買,新規,1000,107.600,107.600,107.600,,"2019/09/13 16:07:09","2019/09/16 09:26:18",119000000248098
USD/JPY,買,新規,1000,107.700,107.700,107.700,,"2019/09/13 15:18:57","2019/09/16 09:13:28",119000000247788
EUR/USD,買,決済,1000,1.10800,1.10800,1.10800,+216,"2019/09/02 22:10:17","2019/09/13 22:39:45",119000000223061
EUR/USD,売,新規,1000,1.11000,1.11000,1.11000,,"2019/09/02 22:10:17","2019/09/13 16:08:20",119000000223060
USD/JPY,売,決済,1000,107.900,107.890,107.890,+290,"2019/09/13 03:35:20","2019/09/13 16:07:09",119000000244812
EUR/USD,売,新規,1000,1.10800,1.10800,1.10800,,"2019/09/13 08:48:55","2019/09/13 15:21:20",119000000247504
USD/JPY,売,決済,1000,108.000,108.000,108.000,+334,"2019/09/13 10:16:00","2019/09/13 15:18:56",119000000125865
EUR/USD,買,決済,1000,1.10600,1.10600,1.10600,+219,"2019/09/05 23:24:34","2019/09/13 08:48:55",119000000232126
EUR/USD,売,新規,1000,1.10800,1.10800,1.10800,,"2019/09/05 23:24:34","2019/09/13 02:11:14",119000000232125
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/12 23:57:36","2019/09/13 00:48:52",119000000246992
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+215,"2019/09/12 20:46:01","2019/09/12 23:57:36",119000000245605
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/12 20:46:01","2019/09/12 23:39:09",119000000245604
EUR/JPY,売,新規,1000,119.300,119.300,119.300,,"2019/09/02 22:08:05","2019/09/12 23:10:47",119000000222991
EUR/JPY,売,新規,1000,119.060,119.060,119.060,,"2019/09/12 20:48:49","2019/09/12 23:10:37",119000000245658
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/12 20:46:22","2019/09/12 22:47:12",119000000245614
EUR/JPY,売,新規,1000,118.820,118.820,118.820,,"2019/09/12 20:51:40","2019/09/12 22:46:12",119000000245715
